IATA code,Lat Decimal Degrees,Long Decimal Degrees
DOH,25.261,51.565
DOK,48.073,37.74
DOL,49.365,0.154
DOM,15.547,-61.3
DOV,39.13,-75.466
DPA,41.908,-88.249
DPS,-8.748,115.167
DRI,30.832,-93.34
DRO,37.151,-107.754
DRS,51.133,13.767
DRT,29.373,-100.926
DSM,41.534,-93.663
DTM,51.518,7.612
DTW,42.212,-83.353
DUB,53.421,-6.27
DUD,-45.928,170.198
DUG,31.469,-109.604
DUH,-33.607,22.189
DUM,1.609,101.433
DUR,-29.97,30.95
DUS,51.289,6.767
DUT,53.9,-166.543
DXB,25.255,55.364
DYS,32.421,-99.854
DYU,38.543,68.825
DZA,-12.805,45.281
DZH,47.708,67.733
EAM,17.611,44.419
EAS,43.356,-1.791
EBA,42.76,10.239
EBB,0.042,32.443
EBD,13.153,30.232
EBJ,55.526,8.553
EBM,31.704,9.254
EBU,45.54,4.296
ECG,36.261,-76.174
EDF,61.251,-149.806
EDI,55.95,-3.373
EDL,0.404,35.238
EDM,46.702,-1.379
EDW,34.905,-117.884
EFD,29.607,-95.159
EFL,38.12,20.501
EGC,44.825,0.519
EGP,28.7,-100.479
EGS,65.283,-14.401
EHL,-41.943,-71.532
EHM,58.647,-162.061
EIL,64.666,-147.101
EIN,51.45,5.374
EIS,18.445,-64.543
EJA,7.024,-73.807
EJH,26.198,36.476
EKN,38.889,-79.857
ELD,33.221,-92.813
ELF,13.615,25.325
ELG,30.571,2.859
ELH,25.476,-76.681
ELL,-23.726,27.688
ELP,31.807,-106.378
ELQ,26.303,43.774
ELS,-33.036,27.826
ELT,28.209,33.645
EMA,52.831,-1.328
EME,53.391,7.227
EMN,16.622,-7.314
EMX,-42.031,-71.17
ENA,60.573,-151.245
ENC,48.692,6.23
END,36.34,-97.916
ENE,-8.849,121.662
ENF,68.362,23.424
ENK,54.399,-7.652
ENS,52.27,6.874
ENU,6.474,7.562
ENV,40.719,-114.031
EOH,6.22,-75.591
EPL,48.325,6.07
EQS,-42.908,-71.139
ERC,39.71,39.526
ERF,50.98,10.958
ERH,31.949,-4.401
ERZ,39.956,41.17
ESB,40.128,32.995
ESE,31.795,-116.602
ESF,31.395,-92.296
ESH,50.836,-0.297
ESK,39.784,30.582
ESS,51.401,6.936
ETH,29.561,34.96
ETZ,48.982,6.254
EUX,17.496,-62.979
EVE,68.491,16.678
EVG,62.048,14.423
EVN,40.148,44.397
EWN,35.073,-77.043
EWR,40.692,-74.169
EXT,50.734,-3.414
EYW,24.556,-81.759
EZS,38.607,39.291
FAA,10.036,-10.77
FAB,51.276,-0.776
FAE,62.064,-7.277
FAF,37.133,-76.609
FAI,64.815,-147.856
FAJ,18.309,-65.662
